phenotype,ICD10_control_exclude,ICD10_case_include,ICD9_control_exclude,ICD9_case_include
Abdominal aortic aneurysm (AAA), E105 | E115 | E145 | I250 | I670 | I70 | I700 | I701 | I702 | I708 | I709 | I710 | I711 | I712 | I715 | I716 | I718 | I719 | I72 | I720 | I721 | I722 | I723 | I724 | I728 | I729 | I73 | I730 | I731 | I738 | I739 | I74 | I740 | I741 | I742 | I743 | I744 | I745 | I748 | I749 | I77 | I770 | I771 | I772 | I773 | I774 | I775 | I776 | I778 | I779 | I78 | I780 | I788 | I789 | I790 | I791 | I792 | I798 | K55 | K550 | K551 | K558 | K559 | M052 | M30 | M300 | M301 | M302 | M303 | M308 | M310 | M311 | M312 | M313 | M314 | M315 | M316 | M318 | M319 | Q273 | I774 | M318 | I770 | I773 | I775 | I7789 | I778 | I77 | I772 | Q273 | M319 | I779 | I748 | I7411 | I74 | I742 | I745 | I749 | I7777 | I777 | I7773 | I7776 | I7775 | I7774 | I7770 | I7779 | I670 | I7771 | I7772 | I791 | I798 | M302 | M317 | M308 | M300 | I70743 | I70728 | I70302 | I70569 | I7042 | I70532 | I70223 | I7031 | I70648 | I70528 | I70411 | I70443 | I70599 | I70429 | I70631 | I70398 | I70368 | I70518 | I70445 | I70548 | I70542 | I70523 | I70535 | I70512 | I7072 | I70468 | I70645 | I70639 | I70621 | I70541 | I7056 | I70361 | I7075 | I70538 | I70434 | I70422 | I70208 | I70662 | I70533 | I70201 | I7076 | I70311 | I70313 | I70498 | I70492 | I70318 | I70209 | I70731 | I70693 | I70338 | I70521 | I7092 | I70768 | I70444 | I70508 | I7060 | I7049 | I70609 | I70591 | I70342 | I70221 | I70769 | I70343 | I70328 | I70321 | I70421 | I7069 | I7036 | I7052 | I7035 | I70298 | I70692 | I70744 | I70669 | I70634 | I7030 | I70413 | I70661 | I70408 | I70369 | I7079 | I70702 | I70339 | I70299 | I70628 | I70735 | I7046 | I70292 | I70229 | I70291 | I70428 | I70622 | I70663 | I70322 | I70749 | I70442 | I70745 | I70644 | I70799 | I70323 | I70791 | I70729 | I70721 | I7045 | I70401 | I70461 | I70423 | I70402 | I70563 | I70708 | I70763 | I70619 | I7070 | I70719 | I70348 | I70713 | I7022 | I70392 | I70334 | I70503 | I7062 | I70608 | I70344 | I70701 | I70319 | I70519 | I70703 | I70534 | I70632 | I70742 | I70738 | I70549 | I70412 | I7040 | I70529 | I70293 | I70543 | I70718 | I70623 | I70301 | I7061 | I70712 | I70633 | I70643 | I70329 | I70409 | I70668 | I70341 | I70509 | I70792 | I7050 | I70449 | I70545 | I70332 | I70335 | I70491 | I70439 | I70469 | I70203 | I70613 | I70723 | I70602 | I70308 | I70748 | I70635 | I70391 | I70561 | I70501 | I70432 | I70568 | I70493 | I70592 | I70761 | I70502 | I70601 | I7032 | I70798 | I70418 | I70511 | I70435 | I70441 | I70433 | I70638 | I70711 | I70393 | I70709 | I7051 | I70499 | I70312 | I70362 | I70539 | I70448 | I70531 | I7020 | I7039 | I70762 | I70629 | I70345 | I70593 | I70722 | I70222 | I70513 | I70734 | I7071 | I70733 | I70642 | I70739 | I7029 | I70309 | I70419 | I70611 | I70612 | I70228 | I70699 | I70732 | I702 | I7065 | I70603 | I70598 | I70698 | I70649 | I70399 | I70303 | I70403 | I7041 | I70438 | I70431 | I70349 | I70618 | I7059 | I70562 | I70331 | I70544 | I70363 | I70202 | I70333 | I7055 | I70793 | I70522 | I7066 | I70463 | I70741 | I70641 | I70691 | I70462 | M311 | I701 | K559 | K558 | I729 | I72 | I70 | I708 | I7091 | I7090 | I77811 | I77819 | I77812 | I77810 | I7781 | I776 | M30 | M312 | I75021 | I75023 | I750 | I7501 | I7502 | I758 | I75013 | I75 | I7589 | I75022 | I75029 | I75011 | I75012 | I75019 | I7581 | I700 | M301 | M313 | M3131 | M3130 | I723 | I724 | I7389 | I738 | I7381 | I73 | I744 | I743 | I720 | I721 | I722 | I728 | I726 | M314 | D4701 | I780 | I788 | I78 | I789 | I771 | I7301 | I7300 | I730 | I7401 | I7409 | I740 | I7419 | I7410 | I70262 | I70249 | I70263 | I70244 | I70231 | I70241 | I70248 | I70232 | I70261 | I70269 | I70242 | I7025 | I7026 | I70245 | I70235 | I70239 | I70268 | I70238 | I70234 | I70233 | I70243 | M315 | M316 | I70212 | I7021 | I70218 | I70211 | I70219 | I70213 | I739 | K55029 | K55061 | K55049 | K55031 | K5503 | K5502 | K55012 | K55021 | K550 | K55019 | K55052 | K55059 | K55039 | K55042 | K5506 | K55041 | K5505 | K5504 | K55062 | K5501 | K55069 | K55032 | K55051 | K55022 | K55011 | I711 | I715 | I7100 | I710 | I7103 | I7101 | I716 | I719 | I712 | I718 | I7102 | I790 | I731 | K551 | M303 | M310 , I713 | I714 | I713 | I714 , 440 | 4400 | 4401 | 4402 | 44020 | 44021 | 44022 | 44023 | 44024 | 44029 | 4403 | 44030 | 44031 | 44032 | 4404 | 4408 | 4409 | 441 | 4410 | 44100 | 44101 | 44102 | 44103 | 4411 | 4412 | 4415 | 4416 | 4417 | 4419 | 442 | 4420 | 4421 | 4422 | 4423 | 4428 | 44281 | 44282 | 44283 | 44284 | 44289 | 4429 | 443 | 4430 | 4431 | 44310 | 4432 | 44321 | 44322 | 44323 | 44324 | 44329 | 4438 | 44381 | 44382 | 44389 | 4439 | 444 | 4440 | 44401 | 44409 | 4441 | 4442 | 44421 | 44422 | 4448 | 44481 | 44489 | 4449 | 445 | 4450 | 44501 | 44502 | 4458 | 44581 | 44589 | 446 | 4460 | 4461 | 4462 | 44620 | 44621 | 44629 | 4463 | 4464 | 4465 | 4466 | 4467 | 447 | 4470 | 4471 | 4472 | 4473 | 4474 | 4475 | 4476 | 4477 | 44770 | 44771 | 44772 | 44773 | 4478 | 4479 | 448 | 4480 | 4489 | 557 | 5570 | 5571 | 5579 , 4413 | 4414 
Acute appendicitis (AcApp), K36 | K37 | K38 | K380 | K381 | K382 | K383 | K388 | K389 | K37 | K36 | K383 | K388 | K382 | K380 | K389 | K38 | K381 , K35 | K350 | K351 | K359 | K353 | K3589 | K352 | K3580 | K35 | K358 , 540 | 541 | 5410 | 542 | 543 | 5430 | 5439 , 5400 | 5401 | 5409 
Acute lymphoid leukemia,"", C910 | C912 | C913 | C916 ,"", 2040 
Adenomyosis, N801 | N802 | N803 | N804 | N805 | N806 | N808 | N809 , N800 , 6171 | 6172 | 6173 | 6174 | 6175 | 6176 | 6178 | 6179 , 6170 
Age-related macular degeneration,"", H353 | 3625 ,"", 3625 
AL amyloidosis,"", E859 ,"",""
Alcohol use disorder,"", F1010 | F10120 | F10121 | F10129 | F1014 | F10150 | F10151 | F10159 | F10180 | F10181 | F10182 | F10188 | F1019 | F1020 | F1021 | F10220 | F10221 | F10229 | F10230 | F10231 | F10232 | F10239 | F1024 | F10250 | F10251 | F10259 ,"", 305 | 30501 | 30502 | 30503 | 303 | 30301 | 30302 | 30303 | 3039 | 30391 | 30392 | 30393 
Alopecia Areata,"", L639 ,"", 70401 
Anorexia nervosa,"", F500 | F501 ,"", 3071 
Aortic stenosis, Q20 | Q21 | Q22 | Q23 , I350 , 746 | 747 , 4241 
